Kreditgruppe	Glaeubiger	Darlehensnummer und Geschaeftszeichen	Laufzeit	Art	TA	Verwendung	"urspruengl. Schuld"	"Urspruengl. Schuld aufgeteilt"	"Stand am Jahresanfang"	"Jahresanfang aufgeteilt"	"Jahresanfang aufgeteilt"	"Zinsen und Nebenkosten"	"Zinsen u. NK aufgeteilt"	"Zinsen u. NK aufgeteilt"	Tilgung	"Tilgung aufgeteilt"	"Tilgung aufgeteilt"	Zuzaehlung	"Zuzaehlung aufgeteilt"	"Zuzaehlung aufgeteilt"	"Stand am Jahresende"	"Jahresende aufgeteilt"	"Jahresende aufgeteilt"	Ersaetze	"Ersaetze aufgeteilt"	"Ersaetze aufgeteilt"	TA
Finanzunternehmen	Allgemeine Sparkasse Bank AG	IBAN AT57 2032 0321 0739 2204     (902 06 03 42)	Laufzeit von 2015 bis 2035	2	8530	Wohn- und Geschaeftsgebaeude	12.498.700,00	519.800,00	12.498.700,00	103.700,00	103.700,00	144.337,42	1.197,55	1.200,00	0			0			12.498.700,00	103.700,00	103.700,00	0			8530
Finanzunternehmen	Allgemeine Sparkasse Bank AG			2	8782	Seniorenzentren der Stadt Linz		5.442.500,00		4.825.000,00	4.825.000,00		55.720,04	55.700,00								4.825.000,00	4.825.000,00				8782
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8790	Linz AG		6.134.500,00		3.870.000,00	3.870.000,00		44.691,51	44.700,00								3.870.000,00	3.870.000,00				8790
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8994	Allgemeines oeffentliches Krankenhaus d.Stadt Linz		401.900,00		3.700.000,00	3.700.000,00		42.728,32	42.700,00								3.700.000,00	3.700.000,00				8994
Finanzunternehmen	Allgemeine Sparkasse Bank AG	IBAN AT73 2032 0321 0730 6362    ( 902 06/03/41)	Laufzeit von 2013 bis 2023	2	8994	Allgemeines oeffentliches Krankenhaus d.Stadt Linz	4.000.000,00	4.000.000,00	3.111.111,12	3.111.111,12	3.111.100,00	24.021,85	24.021,85	24.000,00	444.444,44	444.444,44	444.400,00	0			2.666.666,68	2.666.666,68	2.666.700,00	0			8994
Finanzunternehmen	Allgemeine Sparkasse Bank AG	ASPK  32017-278601   (902-06-03/40)	Laufzeit von 2013 bis 2023	2	8530	Wohn- und Geschaeftsgebaeude	10.178.200,00	52.619,60	8.905.925,00	701.573,92	701.600,00	222.970,43	17.564,74	17.600,00	1.272.275,00	100.224,85	100.200,00	0			7.633.650,00	601.349,07	601.400,00	0			8530
Finanzunternehmen	Allgemeine Sparkasse Bank AG			2	8590	Maerkte		801.798,76		49.810,56	49.800,00		1.247,07	1.200,00		7.115,79	7.100,00					42.694,77	42.700,00				8590
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8782	Seniorenzentren der Stadt Linz		56.926,36		838.708,09	838.700,00		20.998,06	21.000,00		119.815,44	119.800,00					718.892,65	718.900,00				8782
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8790	Linz AG		2.030.223,53		5.894.552,78	5.894.600,00		147.577,14	147.600,00		842.078,97	842.100,00					5.052.473,81	5.052.500,00				8790
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8993	Immobilien Linz GmbH		6.736.631,75		437.500,00	437.500,00		10.953,33	11.000,00		62.500,00	62.500,00					375.000,00	375.000,00				8993
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	9500	Aufgenommene Darlehen,Schuldendienst		500.000,00		983.779,65	983.800,00		24.630,09	24.600,00		140.539,95	140.500,00					843.239,70	843.300,00				9500
Finanzunternehmen	Allgemeine Sparkasse Bank AG	ASPK  32107-265766   (902-06/03/39)	Laufzeit von 2013 bis 2023	1	6122	Bruecken	10.000.000,00	1.651.000,00	7.647.058,80	1.262.529,41	1.262.500,00	166.676,99	27.518,37	27.500,00	1.176.470,60	194.235,30	194.200,00	0			6.470.588,20	1.068.294,11	1.068.300,00	0			6122
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	6290	"Allgemeiner Wasserbau, sonstige Mazslig;nahmen"		34.000,00		26.000,00	26.000,00		566,7	600		4.000,00	4.000,00					22.000,00	22.000,00				6290
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	6300	Hochwasserregulierung bei Bundesfluessen		768.000,00		587.294,12	587.300,00		12.800,79	12.800,00		90.352,94	90.400,00					496.941,17	496.900,00				6300
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		1.025.000,00		783.823,53	783.800,00		17.084,39	17.100,00		120.588,24	120.600,00					663.235,29	663.200,00				6400
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	6510	Sonstige Schienenwege		638.000,00		487.882,35	487.900,00		10.633,99	10.600,00		75.058,82	75.100,00					412.823,53	412.800,00				6510
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	8150	oeffentliche Anlagen		1.430.000,00		1.093.529,41	1.093.500,00		23.834,81	23.800,00		168.235,30	168.200,00					925.294,11	925.300,00				8150
Finanzunternehmen	Allgemeine Sparkasse Bank AG			1	9140	Beteiligungen		4.454.000,00		3.405.999,98	3.406.000,00		74.237,94	74.200,00		524.000,00	524.000,00					2.881.999,99	2.882.000,00				9140
	Allgemeine Sparkasse Bank AG Ergebnis						38021347,43	38.021.347,43	32265390,77	32.265.390,77	32.265.400,00	558083,62	558.083,62	557.900,00	2995785,89	2.995.785,89	2.995.700,00	0	0	0	29269604,88	29.269.604,88	29.269.700,00	0	0	0	
Finanzunternehmen	Austrian Anadi Bank	Schuldscheindarlehen 22.1.2015 (902 06 22 05)	Laufzeit von 2015 bis 2055	2	8950	Design Center Linz	15.000.000,00	3.930.564,17	15.000.000,00	3.930.564,17	3.930.600,00	427.500,00	112.021,08	112.000,00	0						15.000.000,00	3.930.564,17	3.930.600,00	0			8950
Finanzunternehmen	Austrian Anadi Bank			1	9140	Beteiligungen		5.414.781,90		5.414.781,90	5.414.800,00		154.321,28	154.300,00								5.414.781,90	5.414.800,00				9140
Finanzunternehmen	Austrian Anadi Bank			1	9500	Aufgenommene Darlehen,Schuldendienst		75.000,00		75.000,00	75.000,00		2.137,50	2.100,00								75.000,00	75.000,00				9500
Finanzunternehmen	Austrian Anadi Bank			1	9510	Aufgenommene Anleihen,Schuldendienst		5.579.653,93		5.579.653,93	5.579.700,00		159.020,14	159.000,00								5.579.653,93	5.579.700,00				9510
Finanzunternehmen	Austrian Anadi Bank	Schuldscheindarlehen 28.8.2014  (902 06 22 03)	Laufzeit von 2014 bis 2039	1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"	5.000.000,00	897.183,19	5.000.000,00	897.183,19	897.200,00	150.000,00	26.915,50	26.900,00	0						5.000.000,00	897.183,19	897.200,00	0			6400
Finanzunternehmen	Austrian Anadi Bank			1	6510	Sonstige Schienenwege		409.859,47		409.859,47	409.900,00		12.295,78	12.300,00								409.859,47	409.900,00				6510
Finanzunternehmen	Austrian Anadi Bank			1	7890	Foerderung von Handel, Gewerbe und Industrie		1.208.804,25		1.208.804,25	1.208.800,00		36.264,13	36.300,00								1.208.804,25	1.208.800,00				7890
Finanzunternehmen	Austrian Anadi Bank			1	8120	WC-Anlagen		307.393,98		307.393,98	307.400,00		9.221,82	9.200,00								307.393,98	307.400,00				8120
Finanzunternehmen	Austrian Anadi Bank			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		1.536.971,16		1.536.971,16	1.537.000,00		46.109,13	46.100,00								1.536.971,16	1.537.000,00				8160
Finanzunternehmen	Austrian Anadi Bank			1	8400	Grundbesitz		614.787,95		614.787,95	614.800,00		18.443,64	18.400,00								614.787,95	614.800,00				8400
Finanzunternehmen	Austrian Anadi Bank			1	9500	Aufgenommene Darlehen,Schuldendienst		25.000,00		25.000,00	25.000,00		750	800								25.000,00	25.000,00				9500
Finanzunternehmen	Austrian Anadi Bank	Schuldscheindarlehen 7.5.2015  (902 06 22 07)	Laufzeit von 2015 bis 2035	1	290	Amtsgebaeude	6.000.000,00	129.500,00	5.700.000,00	123.025,00	123.000,00	141.360,00	3.051,02	3.100,00	300.000,00	6.475,00	6.500,00	0			5.400.000,00	116.550,00	116.500,00	0			290
Finanzunternehmen	Austrian Anadi Bank			1	311	Verkehrsplanung		35.000,00		33.250,00	33.300,00		824,6	800		1.750,00	1.800,00					31.500,00	31.500,00				311
Finanzunternehmen	Austrian Anadi Bank			1	1790	Katastrophenschutz		30.000,00		28.500,00	28.500,00		706,8	700		1.500,00	1.500,00					27.000,00	27.000,00				1790
Finanzunternehmen	Austrian Anadi Bank			1	2800	Foerderung von Universitaeten und Hochschulen		308.400,00		292.980,00	293.000,00		7.265,90	7.300,00		15.420,00	15.400,00					277.560,00	277.600,00				2800
Finanzunternehmen	Austrian Anadi Bank			1	2890	Naturkundliche Station		90.000,00		85.500,00	85.500,00		2.120,40	2.100,00		4.500,00	4.500,00					81.000,00	81.000,00				2890
Finanzunternehmen	Austrian Anadi Bank			1	5010	Technik und Umwelt		388.000,00		368.600,00	368.600,00		9.141,28	9.100,00		19.400,00	19.400,00					349.200,00	349.200,00				5010
Finanzunternehmen	Austrian Anadi Bank			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		4.000.000,00		3.800.000,00	3.800.000,00		94.240,00	94.200,00		200.000,00	200.000,00					3.600.000,00	3.600.000,00				6121
Finanzunternehmen	Austrian Anadi Bank			1	8120	WC-Anlagen		85.000,00		80.750,00	80.800,00		2.002,60	2.000,00		4.250,00	4.300,00					76.500,00	76.500,00				8120
Finanzunternehmen	Austrian Anadi Bank			1	8140	"Strazslig;enreinigung"		521.500,00		495.425,00	495.400,00		12.286,54	12.300,00		26.075,00	26.100,00					469.350,00	469.300,00				8140
Finanzunternehmen	Austrian Anadi Bank			1	8151	Kinderspielplaetze		102.600,00		97.470,00	97.500,00		2.417,26	2.400,00		5.130,00	5.100,00					92.340,00	92.400,00				8151
Finanzunternehmen	Austrian Anadi Bank			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		310.000,00		294.500,00	294.500,00		7.303,60	7.300,00		15.500,00	15.500,00					279.000,00	279.000,00				8160
	Austrian Anadi Bank Ergebnis						26000000	26.000.000,00	25700000	25.700.000,00	25.700.300,00	718860	718.860,00	718.700,00	300000	300.000,00	300.100,00	0	0	0	25400000	25.400.000,00	25.400.200,00	0	0	0	
Finanzunternehmen	BAWAG - PSK	Bawag     00001-156-600           (902-06/12/14)	Laufzeit von 2000 bis 2021	1	290	Amtsgebaeude	25.435.491,96	1.090.092,51	6.659.703,58	285.415,87	285.400,00	3.188,18	136,64	100	1.478.945,94	63.383,40	63.400,00	0			5.180.757,64	222.032,47	222.000,00	0			290
Finanzunternehmen	BAWAG - PSK			1	2101	Allgemeinbildende Pflichtschulen -Gebaeudemanagement		726.728,34		190.277,24	190.300,00		91,09	100		42.255,60	42.300,00					148.021,65	148.000,00				2101
Finanzunternehmen	BAWAG - PSK			1	2290	"Sonst.Einrichtungen u.Mazslig;nahmen-berufsbildender Unterricht"		726.728,34		190.277,24	190.300,00		91,09	100		42.255,60	42.300,00					148.021,65	148.000,00				2290
Finanzunternehmen	BAWAG - PSK			1	2500	Schuelerhorte		581.382,67		152.221,80	152.200,00		72,87	100		33.804,48	33.800,00					118.417,32	118.400,00				2500
Finanzunternehmen	BAWAG - PSK			1	2690	Koerperliche Ertuechtigung		726.728,34		190.277,24	190.300,00		91,09	100		42.255,60	42.300,00					148.021,65	148.000,00				2690
Finanzunternehmen	BAWAG - PSK			1	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes		1.090.092,51		285.415,87	285.400,00		136,64	100		63.383,40	63.400,00					222.032,47	222.000,00				4890
Finanzunternehmen	BAWAG - PSK			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		10.028.851,12		2.625.825,98	2.625.800,00		1.257,05	1.300,00		583.127,26	583.100,00					2.042.698,73	2.042.700,00				6120
Finanzunternehmen	BAWAG - PSK			1	6510	Sonstige Schienenwege		3.924.333,05		1.027.497,13	1.027.500,00		491,89	500		228.180,23	228.200,00					799.316,89	799.300,00				6510
Finanzunternehmen	BAWAG - PSK			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		726.728,34		190.277,24	190.300,00		91,09	100		42.255,60	42.300,00					148.021,65	148.000,00				8160
Finanzunternehmen	BAWAG - PSK			2	8782	Seniorenzentren der Stadt Linz		5.813.826,74		1.522.217,97	1.522.200,00		728,73	700		338.044,77	338.000,00					1.184.173,16	1.184.200,00				8782
Finanzunternehmen	BAWAG - PSK	Bawag     00540-012-156          (902-06/12/13)	Laufzeit von 2007 bis 2018	1	160	Informationstechnologie	23.000.000,00	500.000,00	3.450.000,00	75.000,00	75.000,00	1.019,67	22,17		2.300.000,00	50.000,00	50.000,00	0			1.150.000,00	25.000,00	25.000,00	0			160
Finanzunternehmen	BAWAG - PSK			1	610	Sonstige Subventionen		1.100.000,00		165.000,00	165.000,00		48,77			110.000,00	110.000,00					55.000,00	55.000,00				610
Finanzunternehmen	BAWAG - PSK			1	2290	"Sonst.Einrichtungen u.Mazslig;nahmen-berufsbildender Unterricht"		500.000,00		75.000,00	75.000,00		22,17			50.000,00	50.000,00					25.000,00	25.000,00				2290
Finanzunternehmen	BAWAG - PSK			1	2690	Koerperliche Ertuechtigung		600.000,00		90.000,00	90.000,00		26,6			60.000,00	60.000,00					30.000,00	30.000,00				2690
Finanzunternehmen	BAWAG - PSK			1	2700	Volkshochschule Linz		2.600.000,00		390.000,00	390.000,00		115,27	100		260.000,00	260.000,00					130.000,00	130.000,00				2700
Finanzunternehmen	BAWAG - PSK			1	2800	Foerderung von Universitaeten und Hochschulen		450.000,00		67.500,00	67.500,00		19,95			45.000,00	45.000,00					22.500,00	22.500,00				2800
Finanzunternehmen	BAWAG - PSK			1	3290	"Sonst.Einrichtungen u.Mazslig;nahmen-Musik u.darstellende Kunst"		1.000.000,00		150.000,00	150.000,00		44,33			100.000,00	100.000,00					50.000,00	50.000,00				3290
Finanzunternehmen	BAWAG - PSK			1	3400	Museen der Stadt Linz		1.000.000,00		150.000,00	150.000,00		44,33			100.000,00	100.000,00					50.000,00	50.000,00				3400
Finanzunternehmen	BAWAG - PSK			1	3630	Altstadterhaltung und Ortsbildpflege		700.000,00		105.000,00	105.000,00		31,03			70.000,00	70.000,00					35.000,00	35.000,00				3630
Finanzunternehmen	BAWAG - PSK			1	4290	Volkshaeuser		400.000,00		60.000,00	60.000,00		17,73			40.000,00	40.000,00					20.000,00	20.000,00				4290
Finanzunternehmen	BAWAG - PSK			1	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes		300.000,00		45.000,00	45.000,00		13,3			30.000,00	30.000,00					15.000,00	15.000,00				4890
Finanzunternehmen	BAWAG - PSK			1	6100	"Bundesstrazslig;en"		400.000,00		60.000,00	60.000,00		17,73			40.000,00	40.000,00					20.000,00	20.000,00				6100
Finanzunternehmen	BAWAG - PSK			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		1.800.000,00		270.000,00	270.000,00		79,8	100		180.000,00	180.000,00					90.000,00	90.000,00				6120
Finanzunternehmen	BAWAG - PSK			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		5.000.000,00		750.000,00	750.000,00		221,67	200		500.000,00	500.000,00					250.000,00	250.000,00				6121
Finanzunternehmen	BAWAG - PSK			1	6122	Bruecken		400.000,00		60.000,00	60.000,00		17,73			40.000,00	40.000,00					20.000,00	20.000,00				6122
Finanzunternehmen	BAWAG - PSK			1	6300	Hochwasserregulierung bei Bundesfluessen		150.000,00		22.500,00	22.500,00		6,65			15.000,00	15.000,00					7.500,00	7.500,00				6300
Finanzunternehmen	BAWAG - PSK			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		250.000,00		37.500,00	37.500,00		11,08			25.000,00	25.000,00					12.500,00	12.500,00				6400
Finanzunternehmen	BAWAG - PSK			1	7890	Foerderung von Handel, Gewerbe und Industrie		200.000,00		30.000,00	30.000,00		8,87			20.000,00	20.000,00					10.000,00	10.000,00				7890
Finanzunternehmen	BAWAG - PSK			1	8140	"Strazslig;enreinigung"		100.000,00		15.000,00	15.000,00		4,43			10.000,00	10.000,00					5.000,00	5.000,00				8140
Finanzunternehmen	BAWAG - PSK			1	8150	oeffentliche Anlagen		1.100.000,00		165.000,00	165.000,00		48,77			110.000,00	110.000,00					55.000,00	55.000,00				8150
Finanzunternehmen	BAWAG - PSK			1	8151	Kinderspielplaetze		150.000,00		22.500,00	22.500,00		6,65			15.000,00	15.000,00					7.500,00	7.500,00				8151
Finanzunternehmen	BAWAG - PSK			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		700.000,00		105.000,00	105.000,00		31,03			70.000,00	70.000,00					35.000,00	35.000,00				8160
Finanzunternehmen	BAWAG - PSK			2	8530	Wohn- und Geschaeftsgebaeude		900.000,00		135.000,00	135.000,00		39,9			90.000,00	90.000,00					45.000,00	45.000,00				8530
Finanzunternehmen	BAWAG - PSK			2	8590	Maerkte		1.000.000,00		150.000,00	150.000,00		44,33			100.000,00	100.000,00					50.000,00	50.000,00				8590
Finanzunternehmen	BAWAG - PSK			2	8950	Design Center Linz		100.000,00		15.000,00	15.000,00		4,43			10.000,00	10.000,00					5.000,00	5.000,00				8950
Finanzunternehmen	BAWAG - PSK			2	8994	Allgemeines oeffentliches Krankenhaus d.Stadt Linz		500.000,00		75.000,00	75.000,00		22,17			50.000,00	50.000,00					25.000,00	25.000,00				8994
Finanzunternehmen	BAWAG - PSK			1	9140	Beteiligungen		1.100.000,00		165.000,00	165.000,00		48,78			110.000,00	110.000,00					55.000,00	55.000,00				9140
Finanzunternehmen	BAWAG - PSK	Bawag  IBAN AT89 6000 0005 4001 6755  (902 06 30 00)	Laufzeit von 2008 bis 2018	1	8994	Allgemeines oeffentliches Krankenhaus d.Stadt Linz	10.000.000,00	10.000.000,00	10.000.000,00	10.000.000,00	10.000.000,00	3.447,22	3.447,22	3.400,00	0			0			10.000.000,00	10.000.000,00	10.000.000,00	0			8994
	BAWAG - PSK Ergebnis						58.435.491,96	58.435.491,96	20.109.703,58	20.109.703,58	20.109.700,00	7.655,07	7.655,07	7.000,00	3778945,94	3.778.945,94	3.779.100,00	0	0	0	16.330.757,64	16.330.757,64	16.330.600,00	0	0	0	
Finanzunternehmen	KA Finanz AG	KA Finanz AG     114 305                   (902-06/07/11)	Laufzeit von 2001 bis 2025	2	3291	Linzer Veranstaltungsgesellschaft	8.125.129,84	135.800,00	5.525.088,30	92.344,00	92.300,00	78.817,82	1.317,33	1.300,00	650.010,38	10.864,00	10.900,00	0			4.875.077,92	81.480,00	81.400,00	0			3291
Finanzunternehmen	KA Finanz AG			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		2.082.266,69		1.415.941,35	1.415.900,00		20.199,03	20.200,00		166.581,33	166.600,00					1.249.360,02	1.249.300,00				6121
Finanzunternehmen	KA Finanz AG			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		211.633,08		143.910,49	143.900,00		2.052,95	2.100,00		16.930,65	16.900,00					126.979,85	127.000,00				6400
Finanzunternehmen	KA Finanz AG			1	7890	Foerderung von Handel, Gewerbe und Industrie		973.512,17		661.988,28	662.000,00		9.443,55	9.400,00		77.880,97	77.900,00					584.107,30	584.100,00				7890
Finanzunternehmen	KA Finanz AG			2	8530	Wohn- und Geschaeftsgebaeude		542.733,34		369.058,67	369.100,00		5.264,78	5.300,00		43.418,67	43.400,00					325.640,01	325.700,00				8530
Finanzunternehmen	KA Finanz AG			2	8532	Wohn- und Geschaeftsgebaeude nach MRG		34.066,67		23.165,34	23.200,00		330,46	300		2.725,33	2.700,00					20.440,00	20.500,00				8532
Finanzunternehmen	KA Finanz AG			2	8782	Seniorenzentren der Stadt Linz		3.213.932,34		2.185.473,99	2.185.500,00		31.176,75	31.200,00		257.114,58	257.100,00					1.928.359,41	1.928.400,00				8782
Finanzunternehmen	KA Finanz AG			1	9140	Beteiligungen		931.185,55		633.206,18	633.200,00		9.032,97	9.000,00		74.494,85	74.500,00					558.711,33	558.700,00				9140
Finanzunternehmen	KA Finanz AG	KA Finanz AG      114 324                   (902-06/07/12)	Laufzeit von 2002 bis 2018	1	1620	Berufsfeuerwehr	6.000.000,00	500.000,00	600.000,00	50.000,00	50.000,00	17.542,78	1.461,90	1.500,00	400.000,00	33.333,33	33.300,00	0			200.000,00	16.666,67	16.700,00	0			1620
Finanzunternehmen	KA Finanz AG			2	3291	Linzer Veranstaltungsgesellschaft		200.000,00		20.000,00	20.000,00		584,75	600		13.333,33	13.300,00					6.666,67	6.700,00				3291
Finanzunternehmen	KA Finanz AG			1	5230	Laermbekaempfung		600.000,00		60.000,00	60.000,00		1.754,28	1.800,00		40.000,00	40.000,00					20.000,00	20.000,00				5230
Finanzunternehmen	KA Finanz AG			1	6100	"Bundesstrazslig;en"		1.600.000,00		160.000,00	160.000,00		4.678,07	4.700,00		106.666,67	106.700,00					53.333,33	53.300,00				6100
Finanzunternehmen	KA Finanz AG			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		1.000.000,00		100.000,00	100.000,00		2.923,80	2.900,00		66.666,67	66.700,00					33.333,33	33.300,00				6120
Finanzunternehmen	KA Finanz AG			1	7890	Foerderung von Handel, Gewerbe und Industrie		900.000,00		90.000,00	90.000,00		2.631,42	2.600,00		60.000,00	60.000,00					30.000,00	30.000,00				7890
Finanzunternehmen	KA Finanz AG			1	8150	oeffentliche Anlagen		500.000,00		50.000,00	50.000,00		1.461,90	1.500,00		33.333,33	33.300,00					16.666,67	16.700,00				8150
Finanzunternehmen	KA Finanz AG			2	8532	Wohn- und Geschaeftsgebaeude nach MRG		100.000,00		10.000,00	10.000,00		292,38	300		6.666,67	6.700,00					3.333,33	3.300,00				8532
Finanzunternehmen	KA Finanz AG			2	8994	Allgemeines oeffentliches Krankenhaus d.Stadt Linz		600.000,00		60.000,00	60.000,00		1.754,28	1.800,00		40.000,00	40.000,00					20.000,00	20.000,00				8994
Finanzunternehmen	KA Finanz AG	KA Finanz AG      114 643                   (902-06/07/14)	Laufzeit von 2009 bis 2024	4	8993	Immobilien Linz GmbH	23.000.000,00	23.000.000,00	13.500.000,00	13.500.000,00	13.500.000,00	429.975,00	429.975,00	430.000,00	1.800.000,00	1.800.000,00	1.800.000,00	0			11.700.000,00	11.700.000,00	11.700.000,00	1.500.000,00	1.500.000,00	1.500.000,00	8993
Finanzunternehmen	KA Finanz AG	EUR-Konto Nr. 114.180 (restrukt. SFR-Anleihe 2005 Nr. 112 353)    (902-06/07/13)	Laufzeit von 2005 bis 2017	2	8530	Wohn- und Geschaeftsgebaeude	31.556.103,91	1.603.044,92	45.607.476,64	2.316.852,36	2.316.900,00	416.168,23	21.141,28	21.100,00	45.607.476,64	2.316.852,36	2.316.900,00	0			0						8530
Finanzunternehmen	KA Finanz AG			2	8782	Seniorenzentren der Stadt Linz		2.244.262,67		3.243.592,99	3.243.600,00		29.597,79	29.600,00		3.243.592,99	3.243.600,00										8782
Finanzunternehmen	KA Finanz AG			2	8950	Design Center Linz		27.708.796,32		40.047.031,29	40.047.000,00		365.429,16	365.400,00		40.047.031,29	40.047.000,00										8950
	KA Finanz AG Ergebnis						68681233,75	68.681.233,75	65232564,94	65.232.564,94	65.232.600,00	942503,83	942.503,83	942.600,00	48457487,02	48.457.487,02	48.457.500,00	0	0	0	16775077,92	16.775.077,92	16.775.100,00	1500000	1.500.000,00	1.500.000,00	
Finanzunternehmen	Oberbank AG	Oberbank    711-2975.07       (902-06/08/08)	Laufzeit von 2011 bis 2027	1	160	Informationstechnologie	20.000.000,00	1.000.000,00	16.153.846,15	807.692,31	807.700,00	539.495,20	26.974,76	27.000,00	1.538.461,54	76.923,08	76.900,00	0			14.615.384,61	730.769,23	730.800,00	0			160
Finanzunternehmen	Oberbank AG			1	290	Amtsgebaeude		3.762.000,00		3.038.538,46	3.038.500,00		101.479,05	101.500,00		289.384,62	289.400,00					2.749.153,85	2.749.100,00				290
Finanzunternehmen	Oberbank AG			1	303	Direktion Planung, Technik und Umwelt		79.000,00		63.807,69	63.800,00		2.131,01	2.100,00		6.076,92	6.100,00					57.730,77	57.700,00				303
Finanzunternehmen	Oberbank AG			1	310	Stadtentwicklung und Bebauungsplanung		700.000,00		565.384,62	565.400,00		18.882,33	18.900,00		53.846,15	53.800,00					511.538,46	511.600,00				310
